delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;11;5.0;3;10;0.0449258986262821;2.2
0;13;6.0;3;11;0.0445099576870566;2.1666666666666665
0;3;3.0;3;12;0.0416110654970578;1.0
0;8;4.0;3;13;0.0443917157978113;2.0
0;3;3.0;3;14;0.0357209056571922;1.0
0;2;2.0;3;16;0.0280877144000869;1.0
0;2;2.0;3;19;0.0293311808304994;1.0
0;2;2.0;3;21;0.0195633457539395;1.0
1;18;8.0;3;10;0.0446705738053375;2.25
1;3;3.0;3;11;0.0233351611613798;1.0
1;3;3.0;3;12;0.0321866088291551;1.0
1;7;4.0;3;13;0.0416097753300065;1.75
1;5;4.0;3;15;0.0449818499002836;1.25
1;5;4.0;3;17;0.0447071980934986;1.25
1;4;3.0;3;20;0.0296003722694349;1.3333333333333333
1;1;1.0;3;21;0.0153984379770356;1.0
3;7;4.0;3;10;0.0354003904152068;1.75
3;3;3.0;3;11;0.0233351611613798;1.0
3;2;2.0;3;12;0.0121416047213545;1.0
3;12;5.0;3;13;0.0410528608705927;2.4
3;3;3.0;3;14;0.0262964489892894;1.0
3;1;1.0;3;15;0.0127561774908539;1.0
3;3;3.0;3;16;0.02821710424461;1.0
3;3;3.0;3;17;0.0247899784185844;1.0
3;2;2.0;3;18;0.017578230530019;1.0
3;3;3.0;3;19;0.0381769089598487;1.0
3;4;3.0;3;20;0.0296003722694349;1.3333333333333333
3;1;1.0;3;21;0.0153984379770356;1.0
4;12;9.0;3;10;0.0365703441844968;1.3333333333333333
4;4;2.0;3;11;0.0352383667464857;2.0
4;11;5.0;3;12;0.0437718664666543;2.2
4;12;6.0;3;13;0.0372562440568152;2.0
4;12;6.0;3;14;0.0355821672146072;2.0
4;8;7.0;3;15;0.0442274454375588;1.1428571428571428
4;7;4.0;3;16;0.0414482547954441;1.75
4;12;6.0;3;17;0.0405222023159371;2.0
4;7;6.0;3;18;0.039666772075589;1.1666666666666667
4;7;6.0;3;19;0.0408735031039541;1.1666666666666667
4;7;6.0;3;20;0.0396107025652665;1.1666666666666667
4;7;3.0;3;21;0.0282132640198093;2.333333333333333
5;8;6.0;3;10;0.0449897679268958;1.3333333333333333
5;1;1.0;3;11;0.0420624380276232;1.0
5;18;8.0;3;12;0.040871148012106;2.25
5;11;5.0;3;13;0.0437718664666543;2.2
5;4;3.0;3;14;0.0436124843253335;1.3333333333333333
5;4;3.0;3;15;0.0387506208873431;1.3333333333333333
5;18;9.0;3;16;0.0441796895235742;2.0
5;12;6.0;3;17;0.0405222023159371;2.0
5;7;6.0;3;18;0.039666772075589;1.1666666666666667
5;7;6.0;3;19;0.0408735031039541;1.1666666666666667
5;7;6.0;3;20;0.0396107025652665;1.1666666666666667
5;3;2.0;3;21;0.0433001855041049;1.5
6;10;5.0;3;10;0.0424054828860342;2.0
6;7;3.0;3;11;0.042042056723977;2.333333333333333
6;4;3.0;3;12;0.0386584176497716;1.3333333333333333
6;11;5.0;3;13;0.0437718664666543;2.2
6;8;7.0;3;14;0.0448940257105562;1.1428571428571428
6;4;3.0;3;15;0.0387506208873431;1.3333333333333333
6;7;4.0;3;16;0.0428084402888067;1.75
6;8;4.0;3;17;0.0434984617128542;2.0
6;4;3.0;3;18;0.0443040021116689;1.3333333333333333
6;12;5.0;3;19;0.0388737903614872;2.4
6;7;6.0;3;20;0.0412353681256799;1.1666666666666667
6;1;1.0;3;21;0.0243423956683606;1.0
7;10;5.0;3;10;0.0424054828860342;2.0
7;7;4.0;3;11;0.0359061272398159;1.75
7;7;4.0;3;12;0.0419100473269958;1.75
7;12;6.0;3;13;0.0399081209525037;2.0
7;8;4.0;3;14;0.041406245637173;2.0
7;12;6.0;3;15;0.0375674638372983;2.0
7;7;4.0;3;16;0.0428084402888067;1.75
7;4;3.0;3;17;0.0393903333578303;1.3333333333333333
7;5;4.0;3;18;0.041384960282145;1.25
7;5;4.0;3;19;0.040833106307099;1.25
7;4;3.0;3;20;0.0413450657485163;1.3333333333333333
7;1;1.0;3;21;0.0243423956683606;1.0
8;8;5.0;3;10;0.0443587673898767;1.6
8;7;4.0;3;11;0.031547115365304;1.75
8;7;4.0;3;12;0.0375510354524839;1.75
8;7;4.0;3;13;0.0375510354524839;1.75
8;11;5.0;3;14;0.0420977896244463;2.2
8;7;4.0;3;15;0.0402004486158943;1.75
8;10;5.0;3;16;0.0435273137372276;2.0
8;7;3.0;3;17;0.0123652322805313;2.333333333333333
8;12;5.0;3;18;0.037667059333122;2.4
8;12;5.0;3;19;0.0388737903614872;2.4
8;7;4.0;3;20;0.0429652187791726;1.75
8;7;4.0;3;21;0.0222608720119473;1.75
9;11;6.0;3;10;0.0444117551030687;1.8333333333333333
9;7;4.0;3;11;0.031547115365304;1.75
9;12;6.0;3;12;0.0446879355176334;2.0
9;3;2.0;3;13;0.0384690079367694;1.5
9;11;5.0;3;14;0.0420977896244463;2.2
9;7;3.0;3;15;0.0270851176525536;2.333333333333333
9;12;6.0;3;16;0.0422054482147497;2.0
9;13;6.0;3;17;0.0404206876792053;2.1666666666666665
9;7;4.0;3;18;0.0431552077324928;1.75
9;12;5.0;3;19;0.0388737903614872;2.4
9;7;4.0;3;20;0.0429652187791726;1.75
9;4;2.0;3;21;0.0413084214414345;2.0
9;1;1.0;3;9;0.0156037535366722;1.0
10;12;8.0;3;10;0.0400392252090835;1.5
10;12;6.0;3;11;0.036370774754082;2.0
10;12;6.0;3;12;0.0441366418604357;2.0
10;13;7.0;3;13;0.0444890814552802;1.8571428571428568
10;7;3.0;3;14;0.0205583242207346;2.333333333333333
10;8;7.0;3;15;0.0409664097222654;1.1428571428571428
10;7;3.0;3;16;0.0106527667935746;2.333333333333333
10;7;4.0;3;17;0.036321184056057;1.75
10;7;3.0;3;18;0.0153585461117726;2.333333333333333
10;7;6.0;3;19;0.0403222094467564;1.1666666666666667
10;12;5.0;3;20;0.0423429021500605;2.4
11;2;2.0;3;10;0.0423329429189062;1.0
11;1;1.0;3;11;0.0284542017634735;1.0
11;7;3.0;3;12;0.0097129616498753;2.333333333333333
11;7;4.0;3;13;0.0356306805298867;1.75
11;7;3.0;3;14;0.0205583242207346;2.333333333333333
11;1;1.0;3;15;0.0017613691867036;1.0
11;4;2.0;3;16;0.0279312435409288;2.0
11;4;2.0;3;17;0.0301990821729291;2.0
11;4;2.0;3;18;0.033256852193105;2.0
11;1;1.0;3;19;0.0103696941142106;1.0
11;3;2.0;3;20;0.039821765066869;1.5
11;2;2.0;3;9;0.0297763020474623;1.0
12;7;3.0;3;10;0.0298192735998911;2.333333333333333
12;7;3.0;3;11;0.0298192735998911;2.333333333333333
12;9;4.0;3;12;0.0392947344613814;2.25
12;9;4.0;3;13;0.0392947344613814;2.25
12;7;3.0;3;14;0.0351276861299087;2.333333333333333
12;9;4.0;3;15;0.0419441476247918;2.25
12;9;4.0;3;16;0.0401931274231923;2.25
12;8;4.0;3;17;0.0409705324717566;2.0
12;7;3.0;3;18;0.0262742022718015;2.333333333333333
12;7;3.0;3;19;0.0396578724310796;2.333333333333333
12;11;5.0;3;20;0.0447245139096728;2.2
13;9;4.0;3;10;0.0424163667610345;2.25
